date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:38:03	298634/298634	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Mar%202018%2022:18:30%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/gallery/glry-img6.jpg	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/gallery/glry-img6.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:39:21	144502/144502	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Mar%202018%2001:25:26%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/doctors/doctor-img1.jpg	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/doctors/doctor-img1.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:39:24	10953/10953	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Mar%202018%2021:08:26%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/author/tst-thumb1.jpg	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/author/tst-thumb1.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:39:34	158410/158410	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Mar%202018%2001:25:00%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/doctors/doctor-img2.jpg	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/doctors/doctor-img2.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:39:35	150443/150443	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Mar%202018%2001:25:46%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/doctors/doctor-img3.jpg	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/doctors/doctor-img3.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:39:35	148296/148296	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Mar%202018%2001:26:08%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/doctors/doctor-img4.jpg	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/doctors/doctor-img4.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:39:38	12316/12316	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2020:57:28%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/instagram/img1.jpg	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/instagram/img1.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:39:40	9046/9046	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2020:57:40%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/instagram/img2.jpg	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/instagram/img2.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:39:42	9788/9788	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2020:57:52%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/instagram/img3.jpg	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/instagram/img3.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:39:44	11114/11114	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2020:58:08%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/instagram/img4.jpg	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/instagram/img4.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:39:47	7851/7851	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2020:58:20%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/instagram/img5.jpg	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/instagram/img5.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
